Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,company_name,website,contact,adress,no_recruited,img_url,sus_score,diversity_inc,description,password,email
0,0,0,Softwire ï¿½ Software Development Services,http://www.softwire.com/ ,+44 20 7485 7500,"110, Softwire ï¿½ Software Development Services, Highgate Studios, 53-79 Highgate Rd, London NW5 1TL, UK",6,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,4.79,True," Softwire is a software development services company. We develop software for our clients and for ourselves, we provide advice on how to get the best from software teams, and we help to build and support great development teams. We are known for the unusually high quality of our work, for our straightforward, no-nonsense approach, and for our ability to find innovative solutions to difficult problems.",123456,softwire@gmail.com
1,1,1,Intellectsoft UK,https://www.intellectsoft.co.uk/ ,+44 20 3887 0078,"Intellectsoft UK, 22 Great Marlborough Street, 1st floor, London W1F 7HU, United Kingdom",9,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,3.19,True," Intellectsoft is a leading IT services provider, offering custom software development, software product development, and software application management services to enterprises worldwide. Intellectsoft has a strong team of over 400 highly skilled IT professionals, who are adept at delivering high-quality, cost-effective solutions to over 200 global clients, across multiple industry domains. The company has offices in Silicon Valley, New York, London, Oslo, Minsk, and Kharkiv.",123456,intellectsoft@gmail.com
2,2,2,ScienceSoft,https://www.scnsoft.com/ ,+1 214 306 68 37,"5900 S. Lake Forest Drive, Suite 300, McKinney, TX 75070, USA",6,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,6.06,True," Sciencesoft is a software development company that specializes in creating custom software solutions for businesses and organizations. Our team of experienced developers works closely with each client to understand their specific needs and create a tailored solution that meets their unique requirements. We offer a range of services including web development, mobile app development, and software integration, and we are committed to delivering high-quality solutions that help our clients achieve their goals. If you're looking for a reliable and innovative software development partner, Sciencesoft is the perfect choice for you.",123456,scnsoft@gmail.com
3,3,3,DCSL Software Limited,https://www.dcslsoftware.com/ ,"441,252,235,422","DCSL Software Limited, Victoria House, 50-58 Victoria Rd, Farnborough GU14 7PG, UK",6,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,4.35,True," DCSL Software Ltd. is a Microsoft Gold Partner, based in Fingal, Co. Dublin. DCSL Software Ltd. is a bespoke software development company that specialises in providing enterprise-wide software solutions for organisations that need to streamline business processes, improve performance and increase profitability. DCSL Software Ltd. has developed a range of products to assist clients in managing their information more effectively and efficiently.  DCSL Software Ltd. has an experienced team of developers, who are experts in their respective fields. The team has a proven track record in delivering high-quality solutions that meet the specific needs of clients. DCSL Software Ltd. offers a range of services, including software development, software integration, software support and",123456,dcslsoftware@gmail.com
4,4,4,Icreon UK Ltd,http://www.icreon.co.uk/ ,+44 20 7801 6266,"Icreon UK Ltd, 1 Knightsbridge, London SW1X 7QA, UK",0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,5.45,True," Icreon UK Ltd is a world-class software development company that specializes in building custom software solutions and providing software development services to businesses worldwide. We have a team of highly skilled and experienced developers who are experts in developing cutting-edge software solutions that meet the specific needs of our clients. We also offer a range of software development services, including web development, mobile app development, and software testing, to help businesses achieve their technology goals. With our commitment to quality and customer satisfaction, we have become a trusted partner for many businesses and organizations looking to enhance their software capabilities. If you're looking for a reliable and experienced software development partner, look no further than Icreon UK Ltd. We would be happy to discuss your specific needs and how",123456,icreon@gmail.com
5,5,5,Fan Studio Mobile Game App Development UK,https://www.fanstudio.co.uk/ ,+44 20 3287 1166,"Fan Studio Mobile Game App Development UK, 20-22 Wenlock Rd, Hoxton, London N1 7GU, UK",8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,3.5,True," Fan Studio is a mobile game development company in the UK, with a team of expert mobile app developers, designers, and testers who deliver high-quality games for Android and iOS platforms. They provide complete game development services from the initial concept to the finished product. Fan Studio is a trusted partner for game development services. Their team has extensive experience in developing games for various platforms, including Android, iOS, and Windows Phone.  Their team of mobile app developers has a proven track record of delivering successful games for various platforms. They have developed a wide range of games, including action, adventure, arcade, casino, and puzzle games. Fan Studio has the expertise and resources to develop high-quality games that will appeal to a wide range of",123456,fanstudio@gmail.com
6,6,6,Magic Web Solutions Limited (UK),http://www.magicwebsolutions.co.uk/ ,+44 20 3096 6199,"Magic Web Solutions Limited (UK), 70 East Hill, Dartford DA1 1RZ, UK",6,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,7.81,True," Magic Web Solutions is a full-service digital marketing agency. We've been providing a wide range of services to clients of all industries since 2015. We use our industry knowledge and experience to help businesses reach their full potential.  Our services include web design, search engine optimization (SEO), social media management, and content marketing. We also offer web hosting and domain registration services. We're a one-stop shop for all of your digital marketing needs. We're committed to helping our clients succeed online. We're always looking for new and innovative ways to help our clients reach their goals. We're a team of dedicated professionals who are always ready to help.",123456,magicwebsolutions@gmail.com
7,7,7,DCSL Software Limited,https://www.dcslsoftware.com/ ,"442,080,898,105","DCSL Software Limited, New Bridge St, London EC4V 6AL, UK",2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,7.58,True," DC Software Ltd is a specialist software development company based in the UK, providing bespoke software solutions to businesses worldwide. We have a proven track record in developing innovative, cost-effective software solutions for a wide range of industries and sectors. Our team of experienced developers are experts in their field, and are able to create bespoke software solutions that meet the specific needs and requirements of our clients. We offer a range of services including custom software development, software integration, and software support and maintenance. We also provide software consultancy services to help our clients identify and define their software requirements. At DC Software Ltd, we are committed to providing the highest quality software solutions to our clients, and to delivering exceptional customer service. We work closely with our clients to ensure that their",123456,dcslsoftware@gmail.com
8,8,8,Dewzilla,http://www.dewzilla.com/ ,+44 20 3903 5335,"London, UK",3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,1.19,True, Dewzilla is a beverage company that specializes in creating innovative and refreshing drinks. Our products are perfect for anyone who wants to stay hydrated and energized throughout the day. We use only the freshest and highest quality ingredients to create our unique and delicious drinks. Our team is dedicated to creating the best possible products for our customers. We are committed to sustainability and use only recyclable materials in our packaging. We also partner with local businesses and organizations to support our community. We are a company that is passionate about our products and our customers. We strive to create a positive and enjoyable experience for everyone who chooses to drink our beverages.,123456,dewzilla@gmail.com
9,9,9,Icreon UK,http://icreon.co.uk/ ,"441,865,920,707","Icreon UK, 1 Knightsbridge, Belgravia, London SW1X 7QA, UK",9,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Google_%22G%22_Logo.svg/2048px-Google_%22G%22_Logo.svg.png,0.3,True," Icreon is a global digital agency that helps businesses grow by solving complex business challenges with technology. We combine user-centricity, strategy, design, and software engineering to help our clients build stronger, more meaningful relationships with their customers. Founded in 2000, Icreon has been at the forefront of digital innovation for over two decades. We have worked with some of the world's most recognizable brands, including Coca-Cola, Nestlé, ABB, and ADP, to transform their businesses and create lasting value. Today, Icreon has a team of over 400 experts across offices in New York, Seattle, London, and Dubai. We serve clients in a range of industries, including healthcare, financial services, retail,",123456,co@gmail.com
