id,first_name,last_name,email,gender,prev_company,linkedin_profile,remote,locations,diversity_lgbtq,diversity_disabled,diversity_minority,sustainability_pref,layoff_time,interest_roles,role,summary,keywords,exp_years
1,Mathe,Blasik,mblasik0@nps.gov,Male,Intellicore Ltd,https://www.linkedin.com/in/Mathe_Blasik,True,Edinburgh,True,False,False,False,2022-07-21 20:50:20.607591,92;158;121,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in developing and implementing machine learning algorithms, as well as experience in data analysis and data mining. I am also skilled in programming languages such as Python and R, and have worked with a variety of machine learning libraries such as scikit-learn and TensorFlow. In my previous roles, I have worked on a variety of projects in the areas of image recognition, natural language processing, and predictive modeling. I am passionate about using machine learning to solve real-world problems and am always looking for new opportunities to learn and grow in the field.",machine;learning;variety;experience;field;worked;learn;data;engineer;years;machine learning;learning engineer;implementing machine;learning algorithms;learning libraries;scikit learn;strong background;previous roles;image recognition;recognition natural,5
2,Tim,Fitzhenry,tfitzhenry1@youtube.com,Male,Simkin Solutions Limited,https://www.linkedin.com/in/Tim_Fitzhenry,False,London,True,False,True,True,2022-12-03 20:50:20.607591,83;234;241,System Designer," I am a system designer with over 10 years of experience in the field. I have a strong background in both hardware and software, and have worked on a variety of projects ranging from small embedded systems to large-scale enterprise solutions. I am highly skilled in both design and development, and have a proven track record of delivering successful projects on time and on budget.",projects;budget;designer;years;experience;field;strong;background;hardware;software;strong background;small embedded;large scale;scale enterprise;enterprise solutions;highly skilled;proven track;track record;delivering successful;system designer,10
3,Gilberte,Kays,gkays2@virginia.edu,Genderfluid,King Creation Ltd,https://www.linkedin.com/in/Gilberte_Kays,True,Glasgow,True,False,True,True,2022-05-13 20:50:20.607591,341;163;46;328,Senior Manager IT, project Senior IT Manager with over 20 years of experience in the IT field. Strong leadership and communication skills. Expert in project management and business analysis. Proven track record of delivering high-quality projects on time and on budget.,budget;project;senior;manager;years;experience;field;strong;leadership;communication;field strong;strong leadership;communication skills;skills expert;business analysis;analysis proven;proven track;track record;delivering high;high quality,20
4,Nessie,Jillitt,njillitt3@sohu.com,Genderfluid,"Pace Wisdom  Mobile App Development, Android App, iPhone app, IoS Development Company in London, UK",https://www.linkedin.com/in/Nessie_Jillitt,True,Glasgow,False,False,True,True,2022-12-06 20:50:20.607591,145;5,Web Developer," As a web developer with over 10 years of experience, I have a proven track record of developing high-quality websites for a variety of clients. I am well-versed in all aspects of the development process, from initial planning and design to testing and deployment. I have a strong understanding of both front-end and back-end development, and I am proficient in a variety of programming languages and tools. I am also highly skilled in website optimization and have a deep knowledge of SEO best practices.",variety;development;end;practices;web;developer;years;experience;proven;track;web developer;proven track;track record;developing high;high quality;initial planning;strong understanding;programming languages;highly skilled;deep knowledge,10
5,Hillery,Harvett,hharvett4@redcross.org,Male,Inventas Ltd www.inventas.co.uk/,https://www.linkedin.com/in/Hillery_Harvett,True,Manchester,False,False,True,False,2022-12-25 20:50:20.607591,294;128,Senior Software Engineer," Senior Software Engineer with over 10 years of experience in the IT industry. Strong background in software development and architecture. Proven track record of delivering high-quality solutions on time and on budget. Extensive experience in designing and developing enterprise-scale applications. Expert in Java, J2EE, and various other programming languages and technologies.  As a Senior Software Engineer, I am responsible for designing and developing enterprise-scale applications. I have a strong background in software development and architecture, and I am an expert in Java, J2EE, and various other programming languages and technologies. I have a proven track record of delivering high-quality solutions on time and on budget. I am also a strong team player and I enjoy working with others to",software;strong;background;development;track;record;delivering;high;quality;solutions;software development;track record;delivering high;high quality;quality solutions;developing enterprise;enterprise scale;programming languages;senior software;software engineer,10
6,Vickie,Witson,vwitson5@eepurl.com,Agender,Global Initiative,https://www.linkedin.com/in/Vickie_Witson,True,Bournemouth/Poole,False,False,True,True,2022-11-10 20:50:20.608591,304,Senior Manager IT," manager Senior IT Manager with over 15 years of experience in the IT field. Strong leadership and communication skills, with a proven track record of delivering complex IT projects on time and on budget. Extensive experience in managing and leading teams, as well as developing and implementing IT strategies and policies. Certified in project management and IT service management.",experience;manager;management;senior;years;field;strong;leadership;communication;skills;extensive experience;field strong;strong leadership;communication skills;proven track;track record;delivering complex;budget extensive;leading teams;policies certified,15
7,Teri,Truitt,ttruitt6@aboutads.info,Agender,Blueberry Consultants Ltd,https://www.linkedin.com/in/Teri_Truitt,True,West Yorkshire,True,False,True,False,2022-04-26 20:50:20.608591,122,Senior Software Engineer," I am a senior software engineer with over 10 years of experience in the field. I have a strong background in developing web applications using Java and JavaScript. I have also worked with a variety of other programming languages, including Python and C++. In my previous roles, I have led development teams and worked closely with product managers and designers to deliver high-quality products. I am passionate about software development and always strive to stay up to date with the latest technologies.",software;worked;development;technologies;senior;engineer;years;experience;field;strong;latest technologies;strong background;developing web;web applications;programming languages;languages including;including python;previous roles;deliver high;high quality,10
8,Percy,Antrum,pantrum7@springer.com,Male,DevBatch UK Ltd,https://www.linkedin.com/in/Percy_Antrum,True,West Yorkshire,True,True,True,False,2022-06-21 20:50:20.608591,332;271;248,Sales Manager," Sales Manager with 8+ years of experience driving sales and revenue increases for organizations. Strategic thinker and proactive problem solver with expertise in penetrating new markets, securing customer loyalty, and executing highly effective product and marketing campaigns. Coordinated with the sales team to develop effective sales strategies for the company.  Planned and executed all sales activities for the company. Developed and maintained relationships with key clients. Negotiated and closed sales contracts. Developed and implemented marketing strategies to increase sales. Managed and tracked the sales pipeline.  Increased sales by 15% in the first year. Reduced sales expenses by 10% in the first year. Increased sales by 20% in the",sales;company;developed;increased;year;effective;marketing;strategies;years;manager;increased sales;company developed;year increased;company planned;contracts developed;pipeline increased;year reduced;experience driving;organizations strategic;strategic thinker,3
9,Marcelia,Frane,mfrane8@webs.com,Female,Alpine Interactive,https://www.linkedin.com/in/Marcelia_Frane,True,Birmingham,True,False,True,False,2022-06-27 20:50:20.608591,347;7,Product Manager," Product Manager with over 5 years of experience in the consumer goods industry. Proven track record of successfully managing product life cycles from concept to launch. Expertise in market research, competitive analysis, and product development. Ability to lead cross-functional teams and deliver results in a fast-paced environment.  As a Product Manager, I am responsible for leading the development of new products and managing existing product lines. I work closely with the marketing, sales, and engineering teams to define product requirements and create a product development roadmap. I also conduct market research and competitive analysis to identify new product opportunities and develop marketing strategies to drive product sales.",product;development;manager;market;research;competitive;analysis;managing;teams;marketing;market research;competitive analysis;product manager;product development;research competitive;conduct market;consumer goods;goods industry;industry proven;proven track,5
10,Fern,Goggins,fgoggins9@opensource.org,Female,Webdigi  Web & Mobile app development,https://www.linkedin.com/in/Fern_Goggins,False,Manchester,True,False,False,True,2022-12-06 20:50:20.608591,235;325;7;62,Sales Manager," Sales Manager with over 10 years of experience in the sales industry. In my previous role, I was responsible for leading a team of sales representatives and exceeding monthly sales goals. I am an effective leader and have a proven track record of driving sales and achieving results. I am also a quick learner and have excellent communication and interpersonal skills.",sales;skills;manager;years;experience;industry;previous;role;responsible;leading;interpersonal skills;previous role;exceeding monthly;effective leader;proven track;track record;achieving results;quick learner;excellent communication;sales manager,10
